assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,timeOnIce,wins,season,completeGamePct,completeGames,goalsFor,goalsForAverage,incompleteGames,qualityStart,qualityStartsPct,regulationLosses,regulationWins,shotsAgainstPer60,season_year,name_key,heightInInches,weightInPounds,birthCity,birthCountry,draftYear,draftRound,draftOverall,player_name_cw,team_cw,position_cw,cap_hit
0,2,1,Jack LaFontaine,0,9,7.2048,LaFontaine,1,0,0,8479581,0,0.78048,32,20212022,L,41,0,CAR,4497,0,20212022,1.0,1,4,3.20213,0,0,0.0,1,0,32.821898,2022,jack lafontaine,74,204,Mississauga,CAN,2016.0,3.0,14.0,,,,
0,1,0,Michael McNiven,0,3,9.0,McNiven,0,0,0,8478933,0,0.57142,4,20212022,L,7,0,MTL,1200,0,20212022,,0,1,3.0,0,0,,0,0,21.000021,2022,michael mcniven,73,199,Winnipeg,CAN,,,,,,,
0,2,1,Michael Hutchinson,0,6,4.57336,Hutchinson,1,0,0,8474636,0,0.85714,36,20212022,R,42,0,TOR,4723,0,20212022,1.0,1,3,2.28668,0,0,0.0,1,0,32.013561,2022,michael hutchinson,75,201,Barrie,CAN,2008.0,3.0,16.0,Michael Hutchinson,CBJ,G,750000.0
0,1,1,Adam Huska,0,7,7.03517,Huska,1,0,0,8478903,0,0.82051,32,20212022,L,39,0,NYR,3582,0,20212022,1.0,1,3,3.01507,0,0,0.0,1,0,39.195979,2022,adam huska,76,214,Zvolen,SVK,2015.0,7.0,3.0,,,,
0,1,1,Michael DiPietro,0,3,3.13862,DiPietro,1,0,0,8480022,0,0.82352,14,20212022,L,17,0,VAN,3441,0,20212022,1.0,1,1,1.0462,0,0,0.0,1,0,17.785533,2022,michael dipietro,73,205,Windsor,CAN,2017.0,3.0,2.0,,,,
0,2,1,Pheonix Copley,0,5,3.10612,Copley,1,0,0,8477831,0,0.87804,36,20212022,L,41,0,WSH,5795,0,20212022,0.0,0,6,3.72735,1,0,0.0,1,0,25.470236,2022,pheonix copley,76,205,North Pole,USA,,,,Pheonix Copley,LAK,G,825000.0
0,1,0,Thomas Hodges,0,1,3.11418,Hodges,1,0,0,8480591,0,0.66666,2,20212022,L,3,0,ANA,1156,0,20212022,,0,0,0.0,0,0,,1,0,9.342563,2022,thomas hodges,70,170,Slough,GBR,,,,,,,
0,6,4,Akira Schmid,0,19,4.83084,Schmid,4,0,0,8481033,0,0.83333,95,20212022,L,114,0,NJD,14159,0,20212022,0.75,3,9,2.28829,1,0,0.0,4,0,28.985101,2022,akira schmid,77,190,Bern,CHE,2018.0,5.0,12.0,Akira Schmid,NJD,G,850833.0
0,4,3,Daniil Tarasov,0,7,2.40205,Tarasov,2,0,0,8480193,0,0.93693,104,20212022,L,111,0,CBJ,10491,0,20212022,0.666666,2,9,3.08836,1,3,1.0,2,0,38.089799,2022,daniil tarasov,77,203,Novokuznetsk,RUS,2017.0,3.0,24.0,,,,
0,1,0,Hugo Alnefelt,0,3,9.0,Alnefelt,0,0,0,8481597,0,0.7,7,20212022,L,10,0,TBL,1200,0,20212022,,0,1,3.0,0,0,,0,0,30.00003,2022,hugo alnefelt,75,189,Danderyd,SWE,2019.0,3.0,9.0,,,,
0,3,3,Ivan Prosvetov,0,13,4.21621,Prosvetov,2,1,0,8481031,0,0.875,91,20212022,L,104,0,ARI,11100,0,20212022,1.0,3,5,1.62162,0,1,0.333333,2,0,33.729733,2022,ivan prosvetov,77,195,Moscow,RUS,2018.0,4.0,21.0,,,,
0,5,5,Felix Sandstrom,0,16,3.2296,Sandstrom,4,1,0,8478433,0,0.9096,161,20212022,L,177,0,PHI,17835,0,20212022,1.0,5,6,1.2111,0,3,0.6,5,0,35.727506,2022,felix sandstrom,74,211,Gavle,SWE,2015.0,3.0,9.0,Felix Sandstrom,PHI,G,775000.0
0,3,3,Carter Hutton,0,15,7.76085,Hutton,2,0,0,8475622,0,0.74137,43,20212022,L,58,0,ARI,6958,0,20212022,0.333333,1,5,2.58695,2,1,0.333333,2,0,30.008635,2022,carter hutton,72,211,Thunder Bay,CAN,,,,,,,
0,5,4,Joey Daccord,0,21,4.29716,Daccord,4,0,0,8478916,0,0.85,119,20212022,L,140,0,SEA,17593,0,20212022,1.0,4,7,1.43238,0,1,0.25,4,0,28.64776,2022,joey daccord,74,201,Boston,USA,2015.0,7.0,18.0,,,,
0,1,1,Alex Stalock,0,6,7.80628,Stalock,1,0,0,8471774,0,0.78571,22,20212022,L,28,0,SJS,2767,0,20212022,0.0,0,0,0.0,1,0,0.0,1,0,36.429351,2022,alex stalock,71,170,Saint Paul,USA,2005.0,4.0,21.0,Alex Stalock,CHI,G,750000.0
0,4,3,Malcolm Subban,0,17,4.84637,Subban,2,1,0,8476876,0,0.87121,115,20212022,L,132,0,BUF,12628,0,20212022,0.666666,2,6,1.71048,1,1,0.333333,3,0,37.63067,2022,malcolm subban,74,215,Toronto,CAN,2012.0,1.0,24.0,,,,
0,3,2,Arvid Soderblom,0,13,5.00588,Soderblom,2,0,0,8482821,0,0.86315,82,20212022,L,95,0,CHI,9349,0,20212022,1.0,2,6,2.3104,0,1,0.5,2,0,36.581458,2022,arvid soderblom,75,180,Göteborg,SWE,,,,,,,
0,2,0,Josef Korenar,0,3,2.56045,Korenar,0,0,0,8480373,0,0.91428,32,20212022,L,35,0,ARI,4218,0,20212022,,0,0,0.0,0,0,,0,0,29.871994,2022,josef korenar,73,185,Pelhrimov,CZE,,,,,,,
0,8,6,Collin Delia,0,22,3.84727,Delia,4,1,0,8480420,0,0.89908,196,20212022,L,218,0,CHI,20586,1,20212022,0.666666,4,9,1.57388,2,3,0.5,5,0,38.122998,2022,collin delia,74,208,Rancho Cucamonga,USA,,,,Collin Delia,VAN,G,750000.0
