assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,season,blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,firstGoals,giveaways,giveawaysPer60,hits,hitsPer60,missedShotCrossbar,missedShotGoalpost,missedShotOverNet,missedShotWideOfNet,missedShots,takeaways,takeawaysPer60,defensiveZoneFaceoffPct,defensiveZoneFaceoffs,evFaceoffPct,evFaceoffs,neutralZoneFaceoffPct,neutralZoneFaceoffs,offensiveZoneFaceoffPct,offensiveZoneFaceoffs,ppFaceoffPct,ppFaceoffs,shFaceoffPct,shFaceoffs,totalFaceoffs,ppAssists,ppGoalsForPer60,ppGoalsPer60,ppIndividualSatFor,ppIndividualSatForPer60,ppPointsPer60,ppPrimaryAssists,ppPrimaryAssistsPer60,ppSecondaryAssists,ppSecondaryAssistsPer60,ppShootingPct,ppShots,ppShotsPer60,ppTimeOnIce,ppTimeOnIcePctPerGame,ppTimeOnIcePerGame,season_year,name_key,heightInInches,weightInPounds,birthCity,birthCountry,draftYear,draftRound,draftOverall,player_name_cw,team_cw,position_cw,cap_hit,shotAttemptsBlocked,totalShotAttempts,missedShotShort,missedShotFailedBankAttempt
0,0,0,0.48387,0,3,0,Schwindt,0,0,8481655,-4,0,0.0,R,0,0,20212022,0,0,0.0,R,3,Cole Schwindt,FLA,848.0,20212022,2,2.83,,0,,0,2,2.83,5,7.07,0,0,0,3,3,1,1.41,0.5,8,0.48387,31,0.5,8,0.46666,15,,0,,0,31,0,0.0,0.0,0,0.0,0.0,0,,0,,0.0,0,0.0,1,0.001,0.333,2022,cole schwindt,75,210,Kitchener,CAN,2019.0,3.0,19.0,,,,,,,,
0,0,0,,0,2,0,Lewington,0,7,8477343,-1,0,0.0,D,0,0,20212022,0,0,0.0,R,2,Tyler Lewington,BOS,746.5,20212022,2,4.82,,0,,0,0,0.0,1,2.41,0,0,0,1,1,0,0.0,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,0,,,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2022,tyler lewington,74,195,Edmonton,CAN,2013.0,7.0,23.0,,,,,,,,
0,0,0,,0,2,0,Mermis,0,0,8477541,2,0,0.0,D,0,0,20212022,0,0,0.0,L,1,Dakota Mermis,MIN,834.0,20212022,1,2.15,,0,,0,0,0.0,3,6.47,0,0,0,1,1,0,0.0,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,0,,,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2022,dakota mermis,72,197,Alton,USA,,,,,,,,,,,
0,0,0,,0,1,0,Keane,0,2,8480466,0,0,0.0,D,0,0,20212022,0,0,0.0,R,1,Joey Keane,CAR,818.0,20212022,0,0.0,,0,,0,1,4.4,1,4.4,0,0,0,1,1,0,0.0,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,0,,,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2022,joey keane,72,187,Chicago,USA,2018.0,3.0,26.0,,,,,,,,
0,0,0,,0,6,0,Kaut,0,0,8480822,2,0,0.0,R,0,0,20212022,0,0,0.0,R,1,Martin Kaut,COL,528.5,20212022,3,3.4,,0,,0,0,0.0,6,6.81,0,0,0,1,1,1,1.13,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,1,5.872,0.0,0,,0,,0.0,0,0.0,613,0.277,102.166,2022,martin kaut,74,190,Brno,CZE,2018.0,1.0,16.0,,,,,,,,
0,0,0,0.0,0,4,0,Angello,0,2,8478074,0,0,0.0,C,0,0,20212022,0,0,0.0,R,2,Anthony Angello,PIT,397.75,20212022,0,0.0,,0,,0,0,0.0,13,29.41,0,0,0,0,0,0,0.0,,0,0.0,1,,0,,1,,0,,0,1,0,0.0,0.0,0,,,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2022,anthony angello,77,210,Syracuse,USA,2014.0,5.0,25.0,,,,,,,,
0,0,0,0.41379,0,8,0,Turcotte,0,2,8481532,0,0,0.0,C,0,0,20212022,0,0,0.0,L,13,Alex Turcotte,LAK,676.375,20212022,2,1.33,,0,,0,3,1.99,8,5.32,0,0,0,3,3,3,1.99,0.42857,7,0.42857,28,0.63636,11,0.18181,11,0.0,1,,0,29,0,0.0,0.0,0,0.0,0.0,0,,0,,0.0,0,0.0,127,0.054,15.875,2022,alex turcotte,71,195,Elk Grove,USA,2019.0,1.0,5.0,,,,,,,,
0,0,0,,0,2,0,Dorofeyev,0,2,8481604,-1,0,0.0,R,0,0,20212022,0,0,0.0,L,1,Pavel Dorofeyev,VGK,390.0,20212022,1,4.61,,0,,0,0,0.0,0,0.0,0,0,0,0,0,2,9.23,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,0,,,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2022,pavel dorofeyev,73,194,Nizhny Tagil,RUS,2019.0,3.0,17.0,Pavel Dorofeyev,VGK,LW,925000.0,,,,
0,0,0,,0,1,0,Samorukov,0,0,8480041,-2,0,0.0,D,0,0,20212022,0,0,,L,0,Dmitri Samorukov,EDM,148.0,20212022,0,0.0,,0,,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,0,,,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2022,dmitri samorukov,75,188,Volgograd,RUS,2017.0,3.0,22.0,,,,,,,,
0,0,0,,0,1,0,Foudy,0,0,8480853,-1,0,0.0,C,0,0,20212022,0,0,0.0,L,1,Liam Foudy,CBJ,711.0,20212022,0,0.0,,0,,0,0,0.0,1,5.06,0,0,0,0,0,0,0.0,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,0,,,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2022,liam foudy,73,186,Scarborough,CAN,2018.0,1.0,18.0,Liam Foudy,CBJ,C,762500.0,,,,
0,0,0,0.44,0,8,0,Gauthier,0,0,8477512,-1,0,0.0,C,0,0,20212022,0,0,0.0,L,4,Frederik Gauthier,NJD,665.75,20212022,3,2.02,,0,,0,3,2.02,16,10.81,0,0,0,0,0,0,0.0,0.44186,43,0.48214,56,0.45454,11,0.42857,21,,0,0.31578,19,75,0,0.0,0.0,0,,,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2022,frederik gauthier,77,239,Laval,CAN,2013.0,1.0,21.0,,,,,,,,
0,0,0,,0,1,0,Duehr,0,0,8482652,0,0,0.0,R,0,0,20212022,0,0,,R,0,Walker Duehr,CGY,527.0,20212022,0,0.0,,0,,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,0,,,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2022,walker duehr,74,210,Sioux Falls,USA,,,,,,,,,,,
0,0,0,0.0,0,2,0,De Leo,0,0,8478029,-1,0,0.0,L,0,0,20212022,0,0,0.0,L,2,Chase De Leo,NJD,489.0,20212022,0,0.0,,0,,0,0,0.0,5,18.4,0,0,0,2,2,0,0.0,,0,0.0,2,,1,,1,,0,,0,2,0,0.0,0.0,0,,,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2022,chase de leo,69,186,La Mirada,USA,2014.0,4.0,9.0,,,,,,,,
0,0,0,,0,6,0,Guhle,0,0,8478425,0,0,0.0,D,0,0,20212022,0,0,0.0,L,6,Brendan Guhle,ANA,880.0,20212022,4,2.72,,0,,0,5,3.4,11,7.5,0,0,1,6,7,0,0.0,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,0,,,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2022,brendan guhle,74,197,Edmonton,CAN,2015.0,2.0,21.0,,,,,,,,
0,0,0,,0,4,0,Raddysh,0,0,8478178,1,0,0.0,D,0,0,20212022,0,0,0.0,R,2,Darren Raddysh,TBL,640.25,20212022,6,8.43,,0,,0,0,0.0,4,5.62,0,0,0,1,1,1,1.4,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,0,,,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2022,darren raddysh,73,202,Toronto,CAN,,,,Darren Raddysh,TBL,D,762500.0,,,,
0,0,0,0.45454,0,4,0,Gardner,0,0,8479587,-1,0,0.0,C,0,0,20212022,0,0,,L,0,Rhett Gardner,DAL,486.25,20212022,1,1.85,,0,,0,1,1.85,5,9.25,0,0,0,1,1,4,7.4,0.33333,3,0.45454,11,0.57142,7,0.0,1,,0,,0,11,0,0.0,0.0,0,,,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2022,rhett gardner,75,210,Moose Jaw,CAN,2016.0,4.0,25.0,,,,,,,,
0,0,0,,0,4,0,Fagemo,0,0,8481239,-2,0,0.0,L,0,0,20212022,0,0,0.0,R,5,Samuel Fagemo,LAK,823.25,20212022,3,3.27,,0,,0,1,1.09,2,2.18,0,0,0,1,1,2,2.18,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,0,0.0,0.0,0,,0,,0.0,0,0.0,319,0.198,79.75,2022,samuel fagemo,72,200,Göteborg,SWE,2019.0,2.0,19.0,,,,,,,,
0,0,0,,0,1,0,Baddock,0,0,8477631,0,0,0.0,L,0,0,20212022,0,0,,L,0,Brandon Baddock,MTL,504.0,20212022,0,0.0,,0,,0,0,0.0,6,42.85,0,0,0,0,0,0,0.0,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,0,0.0,0.0,0,,0,,0.0,0,0.0,52,0.091,52.0,2022,brandon baddock,75,218,Vermilion,CAN,2014.0,6.0,11.0,,,,,,,,
0,0,0,,0,1,0,Lodin,0,0,8481657,0,0,0.0,C,0,0,20212022,0,0,0.0,L,3,Viktor Lodin,OTT,625.0,20212022,0,0.0,,0,,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,1,38.298,0.0,0,,0,,0.0,1,38.298,94,0.211,94.0,2022,viktor lodin,74,185,Leksand,SWE,2019.0,4.0,1.0,,,,,,,,
0,0,0,,0,1,0,Perreault,0,0,8482150,-1,0,0.0,R,0,0,20212022,0,0,,R,0,Jacob Perreault,ANA,665.0,20212022,1,5.41,,0,,0,1,5.41,0,0.0,0,0,0,2,2,0,0.0,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,0,0.0,0.0,0,,0,,0.0,0,0.0,55,0.236,55.0,2022,jacob perreault,71,185,Montréal,CAN,2020.0,1.0,27.0,,,,,,,,
0,0,0,,0,5,0,Lajoie,0,0,8479320,2,0,0.0,D,0,0,20212022,0,0,0.0,L,6,Maxime Lajoie,CAR,752.4,20212022,5,4.78,,0,,0,1,0.95,3,2.87,0,0,2,2,4,0,0.0,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,0,0.0,0.0,0,,0,,0.0,0,0.0,350,0.275,70.0,2022,maxime lajoie,73,191,Quebec City,CAN,2016.0,5.0,12.0,,,,,,,,
0,0,0,,0,1,0,Dal Colle,0,0,8477936,1,0,0.0,L,0,0,20212022,0,0,0.0,L,2,Michael Dal Colle,NYI,874.0,20212022,0,0.0,,0,,0,1,4.11,0,0.0,0,0,0,0,0,0,0.0,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,0,0.0,0.0,0,,0,,0.0,0,0.0,50,0.301,50.0,2022,michael dal colle,75,195,Woodbridge,CAN,2014.0,1.0,5.0,,,,,,,,
0,0,0,0.5,0,5,0,Rau,0,0,8476415,-3,0,0.0,C,0,0,20212022,0,0,0.0,L,3,Kyle Rau,MIN,529.0,20212022,0,0.0,,0,,0,0,0.0,6,8.16,0,0,0,0,0,0,0.0,,0,0.5,2,0.0,1,1.0,1,,0,,0,2,0,0.0,0.0,0,,,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2022,kyle rau,69,171,Eden Prairie,USA,2011.0,3.0,30.0,,,,,,,,
0,0,0,0.46153,0,2,0,Tynan,0,0,8476391,0,0,0.0,C,0,0,20212022,0,0,0.0,R,3,T.J. Tynan,LAK,650.5,20212022,2,5.53,,0,,0,0,0.0,1,2.76,0,0,0,0,0,0,0.0,0.5,4,0.46153,13,0.0,1,0.5,8,,0,,0,13,0,0.0,0.0,1,13.688,0.0,0,,0,,0.0,1,13.688,263,0.398,131.5,2022,tj tynan,68,160,Orland Park,USA,2011.0,3.0,5.0,,,,,,,,
0,0,0,0.0,0,2,0,McCartney,0,4,8481827,0,0,0.0,L,0,0,20212022,0,0,0.0,L,2,Ben McCartney,ARI,842.5,20212022,0,0.0,,0,,0,0,0.0,7,14.95,0,0,0,1,1,0,0.0,,0,0.0,1,,1,,0,,0,,0,1,0,0.0,0.0,0,,,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2022,ben mccartney,72,182,Portage la Prairie,CAN,2020.0,7.0,18.0,,,,,,,,
0,0,0,,0,2,0,Noesen,0,0,8476474,1,0,0.0,R,0,0,20212022,0,0,0.0,R,4,Stefan Noesen,CAR,859.5,20212022,0,0.0,,0,,0,3,6.28,5,10.47,0,0,1,4,5,0,0.0,,0,,0,,0,,0,,0,,0,0,0,25.35239,0.0,1,25.352,0.0,0,,0,,0.0,0,0.0,142,0.252,71.0,2022,stefan noesen,73,205,Plano,USA,2011.0,1.0,21.0,Stefan Noesen,CAR,RW,762500.0,,,,
0,0,0,,0,5,0,Anderson,0,0,8479315,0,0,0.0,R,0,0,20212022,0,0,0.0,R,10,Joey Anderson,TOR,526.4,20212022,0,0.0,,0,,0,0,0.0,3,4.1,0,0,1,1,2,2,2.73,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,0,,,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2022,joey anderson,72,207,Roseville,USA,2016.0,3.0,12.0,,,,,,,,
0,0,0,0.44444,0,8,0,True,0,2,8480384,-2,0,0.0,C,0,0,20212022,0,0,0.0,L,6,Alexander True,SEA,494.875,20212022,2,1.81,,0,,0,1,0.9,22,20.0,0,0,0,0,0,1,0.9,0.28571,7,0.46153,26,0.4,10,0.6,10,0.0,1,,0,27,0,0.0,0.0,0,0.0,0.0,0,,0,,0.0,0,0.0,9,0.004,1.125,2022,alexander true,77,213,Copenhagen,DNK,,,,,,,,,,,
0,0,0,,0,18,0,Juolevi,0,6,8479355,-1,0,0.0,D,0,0,20212022,0,0,0.0,L,18,Olli Juolevi,"FLA,DET",765.2222,20212022,10,2.61,,0,,0,7,1.82,14,3.65,0,1,0,6,7,2,0.52,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,0,0.0,0.0,0,,0,,0.0,0,0.0,33,0.005,1.833,2022,olli juolevi,74,182,Helsinki,FIN,2016.0,1.0,5.0,,,,,,,,
0,0,0,1.0,0,11,0,Fasching,0,0,8477392,-3,0,0.0,R,0,0,20212022,0,0,0.0,R,3,Hudson Fasching,ARI,593.0,20212022,6,3.31,,0,,0,0,0.0,16,8.83,1,0,0,7,8,2,1.1,,0,1.0,1,,0,,1,,0,,0,1,0,0.0,0.0,1,,,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2022,hudson fasching,75,214,Apple Valley,USA,2013.0,4.0,27.0,Hudson Fasching,NYI,RW,750000.0,,,,
0,0,0,0.31818,0,2,0,Rossi,0,4,8482079,-1,0,0.0,C,0,0,20212022,0,0,0.0,L,5,Marco Rossi,MIN,935.0,20212022,1,1.92,,0,,0,1,1.92,1,1.92,0,0,1,1,2,1,1.92,0.14285,7,0.33333,21,0.83333,6,0.11111,9,0.0,1,,0,22,0,0.0,0.0,2,18.848,0.0,0,,0,,0.0,2,18.848,382,0.462,191.0,2022,marco rossi,69,182,Feldkirch,AUT,2020.0,1.0,9.0,,,,,,,,
0,0,0,,0,2,0,Jones,0,2,8480259,0,0,0.0,C,0,0,20212022,0,0,0.0,L,1,Ben Jones,VGK,482.5,20212022,1,3.73,,0,,0,0,0.0,4,14.92,0,0,0,1,1,0,0.0,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,0,0.0,0.0,0,,0,,0.0,0,0.0,2,0.002,1.0,2022,ben jones,72,187,Waterloo,CAN,2017.0,7.0,3.0,,,,,,,,
0,0,0,,0,5,0,Kalynuk,0,2,8480293,-3,0,0.0,D,0,0,20212022,0,0,0.0,L,1,Wyatt Kalynuk,CHI,719.8,20212022,0,0.0,,0,,0,2,2.0,9,9.0,0,0,0,4,4,1,1.0,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,0,0.0,0.0,0,,0,,0.0,0,0.0,2,0.001,0.4,2022,wyatt kalynuk,73,180,Brandon,CAN,2017.0,7.0,10.0,,,,,,,,
0,0,0,,0,1,0,Matteau,0,0,8476870,0,0,0.0,C,0,0,20212022,0,0,,L,0,Stefan Matteau,COL,219.0,20212022,0,0.0,,0,,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,0,,,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2022,stefan matteau,74,208,Chicago,USA,2012.0,1.0,29.0,,,,,,,,
0,0,0,0.5,0,3,0,Semyonov,0,0,8482815,-2,0,0.0,C,0,0,20212022,0,0,0.0,L,1,Kirill Semyonov,TOR,602.3333,20212022,0,0.0,,0,,0,1,1.99,4,7.96,0,0,0,2,2,0,0.0,,0,0.5,2,0.5,2,,0,,0,,0,2,0,0.0,0.0,0,,,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2022,kirill semyonov,72,171,Omsk,RUS,,,,,,,,,,,
0,0,0,,0,4,0,Phillips,0,4,8482192,-1,0,0.0,D,0,0,20212022,0,0,0.0,L,4,Isaak Phillips,CHI,740.25,20212022,1,1.21,,0,,0,4,4.86,3,3.64,0,0,0,1,1,2,2.43,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,0,0.0,0.0,0,,0,,0.0,0,0.0,2,0.001,0.5,2022,isaak phillips,75,205,Barrie,CAN,2020.0,5.0,17.0,,,,,,,,
0,0,0,,0,16,0,Soderstrom,0,6,8481599,-7,0,0.0,D,0,0,20212022,0,0,0.0,R,14,Victor Soderstrom,ARI,979.25,20212022,23,5.28,,0,,0,6,1.37,14,3.21,0,0,1,4,5,1,0.22,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,1,4.488,0.0,0,,0,,0.0,1,4.488,802,0.178,50.125,2022,victor soderstrom,72,189,Gavle,SWE,2019.0,1.0,11.0,,,,,,,,
0,0,0,,0,2,0,Pachal,0,0,8481167,-2,0,0.0,D,0,0,20212022,0,0,0.0,R,1,Brayden Pachal,VGK,585.5,20212022,1,3.07,,0,,0,1,3.07,2,6.14,0,0,0,1,1,1,3.07,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,0,,,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2022,brayden pachal,74,202,Estevan,CAN,,,,,,,,,,,
0,0,0,1.0,0,2,0,Thompson,0,0,8481740,0,0,0.0,R,0,0,20212022,0,0,0.0,R,3,Tyce Thompson,NJD,865.0,20212022,0,0.0,,0,,0,2,4.16,2,4.16,0,0,0,1,1,2,4.16,,0,1.0,1,,1,,0,,0,,0,1,0,0.0,0.0,0,0.0,0.0,0,,0,,0.0,0,0.0,15,0.025,7.5,2022,tyce thompson,74,193,Calgary,CAN,2019.0,4.0,3.0,,,,,,,,
0,0,0,,0,9,0,Heatherington,0,7,8477471,-1,0,0.0,D,0,0,20212022,0,0,0.0,L,4,Dillon Heatherington,OTT,740.0,20212022,2,1.08,,0,,0,2,1.08,18,9.72,0,1,0,1,2,0,0.0,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,0,,,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2022,dillon heatherington,76,215,Calgary,CAN,2013.0,2.0,20.0,,,,,,,,
0,0,0,,0,3,0,Wood,0,4,8477425,-2,0,0.0,L,0,0,20212022,0,0,0.0,L,2,Miles Wood,NJD,885.6666,20212022,1,1.35,,0,,0,4,5.41,5,6.77,0,0,0,4,4,0,0.0,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,0,0.0,0.0,0,,0,,0.0,0,0.0,229,0.274,76.333,2022,miles wood,74,209,Buffalo,USA,2013.0,4.0,9.0,Miles Wood,NJD,LW,3200000.0,,,,
0,0,0,,0,6,0,Timmins,0,0,8479982,-6,0,0.0,D,0,0,20212022,0,0,0.0,R,5,Conor Timmins,ARI,1064.8333,20212022,9,5.07,,0,,0,2,1.12,7,3.94,0,1,0,4,5,3,1.69,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,1,12.72,0.0,0,,0,,0.0,0,0.0,283,0.159,47.166,2022,conor timmins,75,213,St. Catharines,CAN,2017.0,2.0,1.0,Conor Timmins,TOR,D,850000.0,,,,
0,0,0,,0,1,0,Greco,0,0,8479447,0,0,0.0,R,0,0,20212022,0,0,0.0,R,5,Anthony Greco,NYR,584.0,20212022,1,6.16,,0,,0,1,6.16,1,6.16,0,0,0,0,0,0,0.0,,0,,0,,0,,0,,0,,0,0,0,0.0,0.0,0,,,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2022,anthony greco,70,179,Queens,USA,,,,,,,,,,,
